DATE,revenue,competitor_index,tv_S,ooh_S,social_S,display_S,search_S,tv_I,ooh_I,social_I,display_I,search_I
2023-01-02,6923906.52,98.801,576189.1,40962.77,196911.81,79062.13,155273.59,46705953,6965192,29686909,14703523,6281177
2023-01-09,7123706.42,100.548,555155.22,133904.04,181084.67,114882.03,155943.64,44911840,23006883,24824861,21778337,6424153
2023-01-16,7183573.21,101.362,524083.39,154917.1,205063.06,168876.59,149058.73,41770242,26041489,28507007,31734172,5645313
2023-01-23,7520771.59,101.381,657184.0,147140.51,70017.69,146079.16,203159.94,52260654,25104977,10091601,28573457,7993440
2023-01-30,7293804.1,100.803,145292.57,141561.76,90030.23,72013.02,174832.3,11528118,24727362,12460702,13763577,6988240
2023-02-06,7104571.83,102.02,146452.15,40543.59,183314.36,53663.95,146630.18,11389975,6851046,26474823,10135452,6016264
2023-02-13,7150669.41,102.129,151032.16,44570.37,177333.62,65971.35,136461.23,11848098,7608281,24209188,12413001,5418234
2023-02-20,6775322.95,100.985,124839.37,37565.56,173225.62,57172.57,170278.73,10156919,6313850,23721157,10857332,7036069
2023-02-27,6795988.19,100.229,123222.96,29106.47,76059.1,69675.77,157121.8,10526604,4983802,10815527,12841089,6114406
2023-03-06,6826315.67,101.247,123505.48,37644.38,82760.77,76106.9,306149.88,9670556,6434309,11368558,14535654,12637971
2023-03-13,6722321.6,100.985,180031.58,43958.23,81720.69,68127.88,342053.28,14798689,7586427,11221622,12636934,13605856
2023-03-20,6450926.83,104.728,140437.81,40582.07,72262.2,64162.33,146137.36,11332700,7140115,10132673,11780929,5977801
2023-03-27,6435734.59,104.195,158202.83,48059.34,80408.6,70730.48,185368.36,12340526,8446806,11057699,13252117,7546143
2023-04-03,6749552.13,102.335,465795.11,30215.76,69095.82,68812.94,156593.35,36779544,5121715,9586762,13270941,6064702
2023-04-10,6903605.21,100.7,553950.12,147202.9,77605.66,59033.57,140425.6,45160641,26212188,10930393,11186964,5836147
2023-04-17,7226708.63,99.407,587552.15,163450.59,208896.31,49365.77,133390.82,45664614,28231896,29580138,9167094,5313822
2023-04-24,7461831.88,96.612,542067.68,123171.89,199238.8,60514.02,185468.33,43676520,21112863,28944197,11488618,7498850
2023-05-01,7519911.23,98.646,165749.12,182856.91,182854.19,48908.8,148685.21,12951827,31597938,25621733,9183102,6139811
2023-05-08,6987035.47,98.125,139207.91,41604.19,70807.33,135836.92,313791.17,10287707,7419779,9675119,25384861,12932517
2023-05-15,7674816.12,98.245,143717.42,41047.64,80532.14,202830.95,332887.15,11376679,7206695,10890575,37243863,13229141
2023-05-22,6726593.45,98.329,166263.08,40438.13,77424.57,181245.03,143952.3,13803945,6782675,11311742,33395735,5631539
2023-05-29,6539231.49,100.87,176269.22,47013.14,62444.92,59663.8,138021.59,14231630,8268129,8744726,11055152,5649769
2023-06-05,6378573.34,101.892,151231.42,44118.54,69016.09,66698.3,145620.99,11893076,7377527,9432038,13012655,5846743
2023-06-12,6371268.73,100.41,137485.76,36051.25,75100.49,77699.86,160775.25,10971489,6343463,10623810,15021863,6496837
2023-06-19,6164688.13,100.83,140335.77,37120.48,79033.93,63530.13,156711.86,11042737,6492562,11206810,12002695,6488763
2023-06-26,6405818.98,99.444,167897.07,40332.89,76633.27,51448.05,143888.08,13188425,6979138,10810540,9529508,5627795
2023-07-03,6240966.11,100.723,127498.16,38056.36,91309.59,52142.23,150924.29,10503892,6555188,12517124,10046798,6015084
2023-07-10,6425153.95,103.13,128419.32,38493.88,67742.7,75557.81,376917.75,10276932,6758001,9429459,14256516,14500158
2023-07-17,6341415.72,102.699,129147.42,40764.29,91756.98,75937.51,360132.43,10135774,6922847,13276157,15001884,15117314
2023-07-24,6393292.53,102.085,656017.25,44636.85,74079.93,74750.67,151089.63,50916764,7435310,10696880,13931213,6094711
2023-07-31,6669839.4,101.22,609595.0,147351.54,80871.1,68433.0,161034.16,49089451,25933485,11183665,13144011,6481835
2023-08-07,7000255.55,100.315,519559.71,139401.48,74489.93,157301.57,155714.22,41035749,24393192,11064412,29859727,6395624
2023-08-14,7023290.41,98.082,528622.5,129388.48,200147.51,157495.99,164318.36,41519427,22197735,27811957,29694049,6391664
2023-08-21,6819920.8,98.388,144241.52,162698.37,163866.44,145987.65,193361.19,11175532,27451274,23641120,26918168,7911720
2023-08-28,6495848.78,97.493,135480.07,35242.98,232257.72,67036.05,149440.65,10582352,6222872,31460269,12814811,5893745
2023-09-04,6400893.75,97.111,127132.74,34263.68,73685.51,161457.05,164954.24,10126978,5862088,10496631,30902665,6670700
2023-09-11,6094736.76,99.581,130338.91,37960.73,77431.86,134315.28,159042.82,10239487,6424763,10935538,25620739,6516814
2023-09-18,6125719.17,100.261,140706.07,33077.75,149688.18,194039.9,162200.38,10972164,5482994,21216171,36005849,6849586
2023-09-25,6078834.94,100.641,133827.95,40046.46,194671.16,69586.16,156450.84,10446792,7015179,26679030,13277853,6601983
2023-10-02,6406742.16,101.805,143432.31,45406.69,182280.77,72437.92,143691.71,11832909,8027446,25462379,13940230,6020027
2023-10-09,5463045.46,103.618,137799.52,41515.89,86273.51,59412.84,147578.57,10946021,6971729,12275909,10594804,5847416
2023-10-16,5370751.07,102.563,131854.22,40720.93,82374.68,64837.87,127633.42,10137572,7311230,11407282,12469483,5286134
2023-10-23,5622729.97,102.271,151652.45,43444.45,74476.03,61996.48,140512.13,12643478,7321645,10328949,11655818,5461706
2023-10-30,6017395.16,102.551,152243.46,41683.19,66683.57,56613.55,150716.12,12190140,7211714,9241034,10558838,5758971
2023-11-06,5851981.55,104.528,453317.82,34672.22,92984.61,60044.89,169711.0,35758270,5620616,12706248,11148034,6934308
2023-11-13,6169103.22,105.265,593765.05,135969.68,75947.01,85390.85,170536.06,46712202,23058932,10459209,15901781,6993897
2023-11-20,7975665.1,101.326,543242.52,148355.26,89375.46,67774.16,324166.8,41920632,25506357,12670807,13245257,12907453
2023-11-27,6759867.86,99.092,508302.81,149948.52,89397.73,70835.31,305508.75,42373550,24707464,12463378,13490048,11973985
2023-12-04,7109397.46,101.173,157270.53,188125.91,236272.45,66478.74,139941.53,12193211,33098296,33492769,12367203,5514638
2023-12-11,6968061.39,101.478,592728.31,39429.73,169726.75,66328.81,133813.04,45931261,6881594,23174015,12533742,5348290
2023-12-18,7159110.2,100.069,615228.62,160435.46,172854.44,59847.6,158301.94,46398636,27173931,24291609,11564540,6327995
2023-12-25,8149853.01,102.169,538013.77,149611.67,75586.32,69128.68,166467.29,42516634,26093586,10423081,12888170,6875418
2024-01-01,7593577.99,101.015,713560.38,163322.08,72958.29,59184.33,155842.25,56215481,28577097,10134709,11091290,6457036
2024-01-08,7256604.18,103.648,152651.81,147900.44,86415.96,68540.03,292412.85,12466782,25345853,12436553,12648931,11776687
2024-01-15,7406591.71,101.01,133415.23,37014.74,206467.18,55412.36,293320.32,10470078,6305938,29633547,10562051,11790325
2024-01-22,7387827.8,102.534,723100.09,44976.0,215084.51,59447.92,182940.81,57183827,7853359,30292550,11438344,7280714
2024-01-29,7466344.05,104.385,518957.09,162862.35,203816.92,62254.25,163054.37,39520876,27006034,30181934,11457965,6463378
2024-02-05,7942032.17,102.604,689366.66,141618.5,84091.86,68993.79,150537.88,55254498,24234614,11746756,12364461,6005824
2024-02-12,7145766.7,104.178,553560.69,130154.37,84684.77,57014.32,172333.16,45652249,21997527,12028727,10449170,7072465
