date,geo,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,geo_1,14000000,1953377.85,99.849,52441.01,4767607,12385.91,1627092,52333.91,7441920,17093.64,3698141,54267.09,1974286
2023-01-09,geo_1,14000000,1899744.61,98.471,41553.38,3291759,9733.06,1504063,57831.53,8080885,43733.52,9062128,46231.96,1556418
2023-01-16,geo_1,14000000,1879860.7,100.906,48622.73,3936993,11654.12,1512626,21036.77,3028611,48895.18,9881488,51958.29,1686205
2023-01-23,geo_1,14000000,1889283.7,99.947,43934.54,3769016,7801.82,1144123,19108.97,2690964,36468.67,6962151,94140.59,3538615
2023-01-30,geo_1,14000000,2092453.38,98.258,139431.12,10747048,8605.0,1189746,20439.97,2978325,20736.11,4090399,92488.37,3669115
2023-02-06,geo_1,14000000,2104880.76,99.551,155084.75,12692250,35384.39,4819411,20783.76,2767769,16685.79,3318679,48523.36,1707958
2023-02-13,geo_1,14000000,2044184.15,101.19,188705.78,15732335,38901.05,5222555,20661.49,3061397,16340.16,3197197,48969.53,1834375
2023-02-20,geo_1,14000000,1872976.76,101.184,161731.35,12580231,39862.05,5529159,26932.69,3763089,20321.92,4221478,48479.65,1825142
2023-02-27,geo_1,14000000,2083286.85,100.051,42708.0,3483169,32832.82,4590578,61671.94,7700379,16676.19,3253916,54799.01,2024809
2023-03-06,geo_1,14000000,2039282.61,102.904,47428.29,3735238,9782.77,1177992,52349.17,6423400,21640.85,4401436,46765.01,1730437
2023-03-13,geo_1,14000000,2020850.61,101.138,40744.8,3533388,10030.71,1456728,55246.76,7068056,21282.26,4118920,47226.64,1885066
2023-03-20,geo_1,14000000,1817595.62,103.4,41626.76,3723311,10307.81,1268087,28472.57,3577753,20372.63,4080867,46940.38,1787600
2023-03-27,geo_1,14000000,1952603.86,101.681,46884.42,4049871,10616.53,1504859,21263.21,2601171,17867.33,3633671,88989.83,2916089
2023-04-03,geo_1,14000000,1798809.89,102.549,41749.52,3520076,10103.27,1285824,24924.74,3405928,19222.3,3692297,101257.49,3904231
2023-04-10,geo_1,14000000,1762633.1,103.571,42272.86,3705565,41664.13,5928702,22463.65,3059074,22726.37,4249556,44741.07,1542272
2023-04-17,geo_1,14000000,1825031.81,105.959,48783.89,4030469,40916.44,5982203,20244.75,2878098,23300.91,4271369,40272.67,1554649
2023-04-24,geo_1,14000000,1606730.24,104.447,55001.7,4573621,56421.91,7249251,22079.82,3085309,40994.28,8992869,44261.22,1760292
