DATE,revenue,competitor_index,tv_S,ooh_S,social_S,display_S,search_S,tv_I,ooh_I,social_I,display_I,search_I
2023-01-02,6453601.18,107.608,161797.14,48912.04,101134.98,154588.92,151584.25,13648001,7979167,13612176,28609590,6176813
2023-01-09,6585144.72,104.828,182355.38,42716.04,77917.29,146647.26,146404.46,15078490,6876922,10745723,28199692,5697418
2023-01-16,6377482.44,104.86,161493.91,47148.17,80021.45,153516.21,128713.99,13184437,7632533,10830238,29330139,4886919
2023-01-23,6502912.87,103.941,144559.99,39491.99,77953.55,94684.15,140969.25,11750069,6334497,10713430,17541461,5248881
2023-01-30,6732813.03,103.148,154506.28,35811.48,81259.72,64657.31,393556.24,13314164,5744405,11440032,12209948,15504122
2023-02-06,6522035.54,103.292,121939.45,40834.56,155596.22,59889.99,372545.77,9360736,6545854,22166887,11634901,14665629
2023-02-13,6671796.37,103.494,156279.47,41863.04,237266.57,53524.56,139962.38,12622985,6726128,32151241,9780515,5353864
2023-02-20,6816960.95,102.639,150318.3,43551.34,242039.56,70362.58,165420.29,12454960,7153559,33639473,13288706,6635431
2023-02-27,6683280.28,103.898,126739.26,42518.61,93895.69,78551.2,148747.79,10380242,6780853,12726007,14871451,5738001
2023-03-06,6600067.33,100.62,123337.82,43136.31,197438.18,66504.88,169592.99,10098417,7232659,27622458,12067289,6349095
2023-03-13,6466940.77,100.581,124388.1,38369.13,160282.63,66188.51,132658.78,9998126,6041333,21418630,12783240,5170360
2023-03-20,6654973.62,100.109,132027.94,37294.41,172103.08,64345.87,282603.99,10618278,5961493,24221447,11996541,10662025
2023-03-27,6895360.79,97.391,155856.51,42343.76,79335.79,67560.43,320960.95,12135401,6786032,10775790,13323459,12090006
2023-04-03,7100447.47,96.736,570541.71,47439.96,73851.89,63246.54,149516.16,47906366,7719695,10025486,12056624,5388282
2023-04-10,7484969.95,94.784,536211.06,147452.14,64370.38,68376.9,344837.32,42446061,23717586,8843732,12651011,13176485
2023-04-17,7309990.8,97.256,562970.54,186392.94,72577.54,68169.93,347550.83,44310304,30577577,9914368,12698577,13446089
2023-04-24,7307251.34,96.303,676237.34,203612.42,63638.88,66577.19,159419.16,54164170,30952366,8641478,12380958,6043887
2023-05-01,7061291.26,95.509,140257.01,146846.96,65678.99,80811.05,146883.81,11689160,23357355,8814910,15448817,5411309
2023-05-08,7097228.88,94.844,131818.37,48592.5,79834.6,61210.82,156643.34,10671799,7519263,10982085,11785581,6060384
2023-05-15,7502983.37,98.26,188849.76,47850.31,175133.56,62936.09,147372.44,15497851,7941466,24169897,11454703,5672236
2023-05-22,6549345.45,99.253,131422.58,40248.86,165506.76,139221.9,129927.26,10337371,6323245,22653289,26513165,4905474
2023-05-29,6741075.45,97.387,153908.88,44520.01,173803.42,150101.68,168341.71,12448065,7189973,24114607,29167676,6668915
2023-06-05,7057012.06,97.928,645961.58,41676.47,71003.09,155896.37,129899.0,53705647,6839333,10143478,30116022,4908400
2023-06-12,7227376.26,97.936,591714.27,44123.05,82171.56,80327.43,135179.16,48776976,7126196,11595443,14887733,5312971
2023-06-19,7216789.93,98.839,565623.83,45192.78,86521.68,63435.8,156549.6,46895555,7216458,12494593,11318571,5874996
