date,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,50000000,6453601.18,107.608,161797.14,13648001,48912.04,7979167,101134.98,13612176,154588.92,28609590,151584.25,6176813
2023-01-09,50000000,6585144.72,104.828,182355.38,15078490,42716.04,6876922,77917.29,10745723,146647.26,28199692,146404.46,5697418
2023-01-16,50000000,6377482.44,104.86,161493.91,13184437,47148.17,7632533,80021.45,10830238,153516.21,29330139,128713.99,4886919
2023-01-23,50000000,6502912.87,103.941,144559.99,11750069,39491.99,6334497,77953.55,10713430,94684.15,17541461,140969.25,5248881
2023-01-30,50000000,6732813.03,103.148,154506.28,13314164,35811.48,5744405,81259.72,11440032,64657.31,12209948,393556.24,15504122
2023-02-06,50000000,6522035.54,103.292,121939.45,9360736,40834.56,6545854,155596.22,22166887,59889.99,11634901,372545.77,14665629
2023-02-13,50000000,6671796.37,103.494,156279.47,12622985,41863.04,6726128,237266.57,32151241,53524.56,9780515,139962.38,5353864
2023-02-20,50000000,6816960.95,102.639,150318.3,12454960,43551.34,7153559,242039.56,33639473,70362.58,13288706,165420.29,6635431
2023-02-27,50000000,6683280.28,103.898,126739.26,10380242,42518.61,6780853,93895.69,12726007,78551.2,14871451,148747.79,5738001
2023-03-06,50000000,6600067.33,100.62,123337.82,10098417,43136.31,7232659,197438.18,27622458,66504.88,12067289,169592.99,6349095
2023-03-13,50000000,6466940.77,100.581,124388.1,9998126,38369.13,6041333,160282.63,21418630,66188.51,12783240,132658.78,5170360
2023-03-20,50000000,6654973.62,100.109,132027.94,10618278,37294.41,5961493,172103.08,24221447,64345.87,11996541,282603.99,10662025
2023-03-27,50000000,6895360.79,97.391,155856.51,12135401,42343.76,6786032,79335.79,10775790,67560.43,13323459,320960.95,12090006
2023-04-03,50000000,7100447.47,96.736,570541.71,47906366,47439.96,7719695,73851.89,10025486,63246.54,12056624,149516.16,5388282
2023-04-10,50000000,7484969.95,94.784,536211.06,42446061,147452.14,23717586,64370.38,8843732,68376.9,12651011,344837.32,13176485
2023-04-17,50000000,7309990.8,97.256,562970.54,44310304,186392.94,30577577,72577.54,9914368,68169.93,12698577,347550.83,13446089
2023-04-24,50000000,7307251.34,96.303,676237.34,54164170,203612.42,30952366,63638.88,8641478,66577.19,12380958,159419.16,6043887
2023-05-01,50000000,7061291.26,95.509,140257.01,11689160,146846.96,23357355,65678.99,8814910,80811.05,15448817,146883.81,5411309
2023-05-08,50000000,7097228.88,94.844,131818.37,10671799,48592.5,7519263,79834.6,10982085,61210.82,11785581,156643.34,6060384
2023-05-15,50000000,7502983.37,98.26,188849.76,15497851,47850.31,7941466,175133.56,24169897,62936.09,11454703,147372.44,5672236
2023-05-22,50000000,6549345.45,99.253,131422.58,10337371,40248.86,6323245,165506.76,22653289,139221.9,26513165,129927.26,4905474
2023-05-29,50000000,6741075.45,97.387,153908.88,12448065,44520.01,7189973,173803.42,24114607,150101.68,29167676,168341.71,6668915
2023-06-05,50000000,7057012.06,97.928,645961.58,53705647,41676.47,6839333,71003.09,10143478,155896.37,30116022,129899.0,4908400
2023-06-12,50000000,7227376.26,97.936,591714.27,48776976,44123.05,7126196,82171.56,11595443,80327.43,14887733,135179.16,5312971
2023-06-19,50000000,7216789.93,98.839,565623.83,46895555,45192.78,7216458,86521.68,12494593,63435.8,11318571,156549.6,5874996
2023-06-26,50000000,6881690.94,100.048,676645.76,54212306,59170.63,9943980,84982.54,11974805,63471.9,11905782,167231.26,6448530
2023-07-03,50000000,6962230.39,99.881,147489.37,11602682,49738.24,7744836,73077.69,9969360,66019.85,12475642,156987.09,6004341
2023-07-10,50000000,6802967.26,100.389,156769.68,12853515,42886.22,6818418,73040.87,10003200,58370.56,10827037,139941.59,5381887
2023-07-17,50000000,6930557.83,98.846,144496.43,11616202,44407.19,7027835,96994.16,13634851,64067.61,12337138,390070.06,15119038
2023-07-24,50000000,6941320.67,99.301,176994.69,13936942,54341.64,8930073,78846.5,10673130,50970.94,9744678,281708.82,10911152
2023-07-31,50000000,6738926.56,98.226,130558.12,10471135,40069.76,6346299,72693.34,9902252,70481.02,13833565,178555.02,6726311
2023-08-07,50000000,6697196.34,99.279,501345.12,41145962,36548.91,5756652,216743.11,28418219,70731.09,13415677,136100.65,5078561
2023-08-14,50000000,6622994.27,99.265,524865.2,41630082,148634.82,24114860,170361.23,23469731,71406.33,13683858,155152.64,6021694
2023-08-21,50000000,6877001.63,99.36,572744.2,46220684,141870.12,22658243,234771.83,32057872,79462.78,14457493,160890.44,6114100
2023-08-28,50000000,6927874.17,99.756,563942.14,43638361,157929.07,24699611,96669.96,12973603,167353.93,31627167,156895.32,5895338
2023-09-04,50000000,6347879.18,101.501,147523.24,11771355,153072.0,23847418,85420.42,11803073,178873.79,34509193,146899.61,5423080
2023-09-11,50000000,6167395.01,101.132,134492.47,10457299,46118.44,7179544,53618.63,7256669,168203.72,31462577,159973.28,6223397
2023-09-18,50000000,5977325.33,100.15,153748.05,12541864,43578.16,6731564,80811.91,11294635,66794.07,12915109,156846.9,6168014
2023-09-25,50000000,5967433.97,100.342,492234.49,40736051,34587.2,5535622,84969.56,12146447,68607.91,12538255,136706.94,5295907
