date,geo,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,geo_1,14000000,1813014.15,107.608,42470.85,3111946,13990.89,1928138,26930.81,3418209,41047.09,6940227,39521.33,1558684
2023-01-09,geo_1,14000000,1802263.07,104.828,48219.19,3424619,12283.75,1610957,21654.75,3101473,40413.62,6757044,39059.19,1309628
2023-01-16,geo_1,14000000,1645477.68,104.86,44468.9,3220392,13841.47,1765450,21085.79,2399132,44764.86,7353391,35218.47,1291907
2023-01-23,geo_1,14000000,1864198.51,103.941,39819.09,2835653,11729.38,1587736,21490.85,2544489,27743.3,4352176,38446.62,1372833
2023-01-30,geo_1,14000000,1836536.44,103.148,42633.63,3274279,10808.41,1476006,21899.59,2870956,20010.74,3258096,108146.47,4012605
2023-02-06,geo_1,14000000,1668725.0,103.292,35420.63,2366674,12001.82,1583991,42774.27,5973292,18692.96,2967786,104279.5,4197355
2023-02-13,geo_1,14000000,1873984.45,103.494,44211.93,3169871,11775.78,1668205,63813.61,7760881,15765.02,2532166,41177.56,1525202
2023-02-20,geo_1,14000000,1973160.53,102.639,40722.14,3004528,12318.79,1744933,64117.99,8999460,20287.35,3510425,49124.06,1824229
2023-02-27,geo_1,14000000,1766919.69,103.898,34119.33,2310895,12096.39,1629831,24481.63,2952698,21565.97,3423863,45623.55,1685987
2023-03-06,geo_1,14000000,1855501.48,100.62,33879.95,2516527,12250.5,1809922,50087.39,6751451,17710.77,2838952,53788.91,1801864
2023-03-13,geo_1,14000000,1760814.89,100.581,34604.45,2332801,10939.61,1502353,40585.38,5224053,18540.79,3345506,43161.39,1573468
2023-03-20,geo_1,14000000,1806816.02,100.109,37501.53,2587169,10651.04,1529569,43865.97,5932831,17467.98,3031735,93967.75,3339322
2023-03-27,geo_1,14000000,1953272.87,97.391,44412.53,2898489,11542.51,1628818,20948.76,2638321,18701.78,3185636,103154.51,3525720
2023-04-03,geo_1,14000000,1910220.69,96.736,165473.34,12613973,13265.0,1861267,20024.15,2351115,17437.01,3082952,45469.8,1423108
2023-04-10,geo_1,14000000,2094457.69,94.784,156026.3,10576874,42090.63,5789931,18111.37,2413262,20169.33,3400015,102828.74,3733945
2023-04-17,geo_1,14000000,2076278.02,97.256,171077.78,11236152,52959.62,7697029,20355.51,2713863,19441.51,3011710,100177.89,3800718
2023-04-24,geo_1,14000000,1957377.14,96.303,196908.57,14783479,61746.84,7595067,17763.24,2210207,18431.36,3247874,44635.49,1562013
2023-05-01,geo_1,14000000,1972873.7,95.509,42117.09,3190329,42921.46,5661897,17521.96,2226103,22738.99,3607658,41529.4,1396426
2023-05-08,geo_1,14000000,1874623.23,94.844,37755.33,2730319,13938.66,1746926,21092.39,2814071,17137.6,3000157,45251.48,1800746
2023-05-15,geo_1,14000000,2192176.72,98.26,52658.99,4061941,13428.01,1984118,47809.25,6080169,18199.16,2801711,41204.73,1375179
2023-05-22,geo_1,14000000,1627158.52,99.253,36821.17,2291757,11390.1,1454624,45753.25,5937342,40796.96,7602336,35745.75,1284320
2023-05-29,geo_1,14000000,1840366.76,97.387,45016.56,3023752,12656.77,1725684,48102.99,6409994,45854.47,8033727,45283.92,1807052
2023-06-05,geo_1,14000000,1942480.58,97.928,182330.06,13202379,11721.11,1470333,19068.89,2696191,46831.73,7911835,34253.64,1210190
2023-06-12,geo_1,14000000,1965443.37,97.936,171561.44,12383884,12020.48,1801874,22061.56,3015398,25417.42,4304429,37350.71,1328354
2023-06-19,geo_1,14000000,2014370.48,98.839,164411.3,12375137,11946.03,1745608,21792.28,2837240,19271.33,2958530,45141.45,1531077
2023-06-26,geo_1,14000000,1799954.46,100.048,188599.96,12609120,16195.09,2512926,22042.83,3073489,19400.41,3329362,46914.03,1623996
2023-07-03,geo_1,14000000,1802006.86,99.881,41689.6,2934711,13261.33,1716713,19542.8,2481061,19447.86,3182843,43528.47,1472219
2023-07-10,geo_1,14000000,2055044.37,100.389,43873.85,3309230,11661.58,1705910,20123.77,2520254,16891.8,2785834,40180.76,1426915
2023-07-17,geo_1,14000000,1896274.25,98.846,40027.85,2804258,12533.88,1513091,26635.43,3641422,18050.73,3117925,110355.27,4097756
2023-07-24,geo_1,14000000,1991626.01,99.301,50913.14,3108073,15686.73,2116292,22753.69,2812587,14474.62,2519201,81463.73,3191675
2023-07-31,geo_1,14000000,1928093.52,98.226,38957.43,2637010,11712.18,1549353,21105.99,2710735,20037.06,4001353,52994.76,1822178
2023-08-07,geo_1,14000000,1826865.82,99.279,148895.2,10503161,10920.57,1445927,62684.16,7289135,20134.42,3460561,39284.33,1322722
2023-08-14,geo_1,14000000,1841867.96,99.265,156653.61,11164860,42845.44,5985696,50252.34,6093445,20831.01,3530141,45012.69,1692869
2023-08-21,geo_1,14000000,1918499.21,99.36,181924.76,12087482,41048.74,5876271,70623.23,9054373,21891.19,3490521,46056.84,1733832
2023-08-28,geo_1,14000000,2010356.09,99.756,171085.8,10954899,45997.04,6035659,30269.75,3531258,46561.05,7966127,44156.14,1608206
2023-09-04,geo_1,14000000,1700217.36,101.501,44132.92,3169349,45738.75,5568681,26877.84,3528291,49649.22,8294520,39455.03,1373427
2023-09-11,geo_1,14000000,1681678.05,101.132,39173.17,2805368,13447.62,1899676,16361.3,2107335,47048.04,7757652,41379.2,1548478
2023-09-18,geo_1,14000000,1557880.38,100.15,43385.04,2902198,12939.11,1679688,24143.1,3042741,18597.33,3284493,40452.26,1472844
2023-09-25,geo_1,14000000,1713798.69,100.342,131756.07,9867763,10382.64,1324550,25593.17,3560119,18885.43,2699387,35349.64,1336962
2023-10-02,geo_1,14000000,1653294.12,99.937,130933.33,9080580,12319.76,1464289,60323.43,7550798,18529.94,2732125,45990.57,1624181
2023-10-09,geo_1,14000000,1674581.07,99.252,148718.8,10591945,42010.7,5860325,75263.69,9461746,42014.77,7405263,40843.04,1372738
2023-10-16,geo_1,14000000,1822536.05,96.455,142018.59,10224473,40097.64,5599905,47941.88,5657361,33712.17,5689467,42531.31,1556407
2023-10-23,geo_1,14000000,1721019.28,96.471,34900.96,2372850,42923.06,6513958,19134.91,2365363,34779.76,4972027,36383.15,1458913
2023-10-30,geo_1,14000000,1827135.08,96.954,34772.49,2447750,39726.32,5206970,24102.86,2936953,16491.24,2659888,92689.86,3461559
2023-11-06,geo_1,14000000,1795398.21,97.26,34740.83,2353874,10407.71,1379689,21872.57,2700533,15270.19,2237912,100512.56,3650380
2023-11-13,geo_1,14000000,1685025.79,97.798,38336.42,2621257,11475.25,1653708,25364.2,3087573,15900.74,2508162,43043.16,1715755
2023-11-20,geo_1,14000000,2126281.89,98.021,41099.48,2879354,14859.12,2085138,21577.02,2597886,14646.21,2186122,41470.68,1525971
2023-11-27,geo_1,14000000,1720133.52,98.478,44393.17,3120593,15806.64,2097471,19918.97,2701434,13401.14,2308302,41892.44,1458007
2023-12-04,geo_1,14000000,1671435.65,96.735,40895.92,2608257,12302.22,1785329,19016.09,2355835,15898.88,2425056,39051.38,1402651
2023-12-11,geo_1,14000000,1789258.48,94.1,36694.34,2559180,11839.41,1456879,21512.39,2653820,18866.33,3299040,41366.49,1446628
