date,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,50000000,6029986.49,107.379,131151.77,11207005,44060.04,7527881,77903.63,11277296,62573.57,13097248,153092.3,5888582
2023-01-09,50000000,5984008.45,103.257,166575.31,13852845,47858.74,8057893,92646.9,13347558,54215.67,11530623,163040.98,6346752
2023-01-16,50000000,6277688.68,103.017,131244.83,10922014,45840.33,7401066,81299.94,11884404,57592.99,11299267,137119.09,5564682
2023-01-23,50000000,6669594.27,101.376,153310.07,12892634,157035.73,26150680,70184.15,9887929,60511.76,12404195,171876.83,6727579
2023-01-30,50000000,6754790.97,99.45,146392.52,12379907,166183.57,28172540,182766.5,25510303,67546.61,13260894,165564.1,6457432
2023-02-06,50000000,6867498.04,98.085,134536.3,11274763,138093.34,22968390,198701.93,27016522,145822.61,28763962,171018.86,6462215
2023-02-13,50000000,7134180.73,98.131,176226.68,14525930,170038.17,28515738,225054.57,32895139,133276.58,27933172,178525.13,7116826
2023-02-20,50000000,6946759.21,96.423,147101.57,12591945,42942.31,7275555,68825.6,9667567,143025.46,29702165,147546.74,5893640
2023-02-27,50000000,7510565.01,94.693,554079.4,45842763,175452.34,28473525,82341.73,11561479,55939.17,11087260,159351.68,6209282
2023-03-06,50000000,7411075.63,96.543,578076.32,49703028,145790.35,25087379,93953.3,13551822,79953.49,15426427,126652.24,4791156
2023-03-13,50000000,7251796.79,98.114,607574.83,51958074,177806.65,30452772,66513.69,9626254,60060.01,11591782,139531.48,5339473
2023-03-20,50000000,7371221.37,98.247,486342.77,41276836,140425.59,23491131,95339.23,13853842,78056.16,15795431,134878.33,5090554
2023-03-27,50000000,7024566.29,97.958,132614.43,11030518,33790.07,5722085,74489.71,10723898,53496.39,10744685,165367.86,6316896
2023-04-03,50000000,6867385.87,98.866,126036.1,10756136,32238.3,5492764,79305.38,11834127,57665.93,11730149,161684.53,6098412
