date,geo,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,geo_1,14000000,1861016.43,107.379,36773.22,3128080,11935.85,1931939,22015.91,2659095,16125.05,3439033,45850.01,1868675
2023-01-09,geo_1,14000000,1629024.14,103.257,48117.42,3829719,12614.17,2285781,26401.48,3411482,14840.69,3176031,48262.42,2024785
2023-01-16,geo_1,14000000,1681307.46,103.017,39439.11,3363658,11994.9,2078707,22716.28,3088238,16218.42,2687920,41078.88,1699338
2023-01-23,geo_1,14000000,1981093.72,101.376,45916.94,3925044,42080.05,7486370,19084.0,2384380,17037.51,3470374,50808.21,2000388
2023-01-30,geo_1,14000000,1824957.39,99.45,46636.06,3952506,45324.1,8088787,50704.92,6389562,20196.89,3506579,48184.9,1921016
2023-02-06,geo_1,14000000,1936175.6,98.085,41502.5,3368932,38493.26,6022041,55066.56,6572098,42616.81,8066641,50912.32,1880548
2023-02-13,geo_1,14000000,2004298.06,98.131,51787.0,4397400,50697.39,9466318,64231.81,8399076,38350.21,7559626,52600.84,2267948
2023-02-20,geo_1,14000000,1998353.59,96.423,41903.05,3579373,12773.23,2268478,19208.32,2517041,39940.11,8149285,41605.83,1642390
2023-02-27,geo_1,14000000,2180977.99,94.693,158980.91,14461802,51819.15,7692254,22383.13,2709014,16272.92,3047161,44816.71,1886491
2023-03-06,geo_1,14000000,2150441.19,96.543,165579.45,14114052,41584.91,7498731,24172.71,2965500,23519.6,4025735,34447.22,1291393
2023-03-13,geo_1,14000000,2037299.17,98.114,172035.9,13521098,49354.9,8173477,17709.32,2184241,18249.76,3443998,39502.52,1623820
2023-03-20,geo_1,14000000,2129378.88,98.247,135891.19,11508183,40854.3,7454431,26274.8,3353812,22654.97,4412744,37596.13,1420738
2023-03-27,geo_1,14000000,2063344.95,97.958,37143.92,3167944,9785.22,1638775,20329.17,2648074,15515.8,2806365,49080.42,1955873
2023-04-03,geo_1,14000000,1913965.09,98.866,34410.27,2863253,8717.5,1464900,20077.23,2898535,17771.32,3638094,50567.26,1880049
2023-04-10,geo_1,14000000,1834842.77,101.39,30498.08,2583976,9158.73,1467023,19310.94,2617328,23336.68,4239730,47557.17,1735304
2023-04-17,geo_1,14000000,2045700.98,102.772,44781.17,3747522,13940.44,2380440,53801.24,6958634,19652.98,3570400,44797.35,1858516
2023-04-24,geo_1,14000000,1744195.75,103.016,47680.21,4465163,12940.5,2058052,55944.95,6501517,25994.92,4734735,53973.19,1976361
2023-05-01,geo_1,14000000,1940977.2,102.104,181932.87,15012731,15559.5,2633942,55413.27,5666132,21794.1,4084084,46667.54,1818269
2023-05-08,geo_1,14000000,1898307.09,101.654,121466.71,10804242,11129.1,1851813,30234.48,4118581,23146.56,4449566,39779.89,1389141
2023-05-15,geo_1,14000000,2125665.66,99.801,157614.48,13247764,14805.22,2750490,15976.6,2114895,15455.49,2894169,48239.11,2107542
2023-05-22,geo_1,14000000,2056548.46,102.502,160577.0,11673766,13205.25,2140538,20458.46,2417532,46996.02,9402855,96396.66,4239641
2023-05-29,geo_1,14000000,1821746.95,100.244,35095.83,3055780,38777.61,6037745,19745.32,2314639,42998.74,8466791,91759.98,3542736
2023-06-05,geo_1,14000000,1752135.91,99.166,41748.82,3375275,52063.98,8729732,22272.35,2469711,57199.84,10160302,32182.2,1269528
2023-06-12,geo_1,14000000,1726011.93,98.68,34319.67,2787781,39674.84,6771591,21833.18,2685563,18383.28,3763160,37518.8,1518917
2023-06-19,geo_1,14000000,1914358.51,98.675,36095.61,3097363,36360.12,6577711,23620.83,3056972,18761.1,3386662,85896.71,3303268
2023-06-26,geo_1,14000000,1981919.04,100.71,37561.49,3120453,10146.98,1569233,23927.28,2903758,16626.06,3163428,78393.04,3095667
2023-07-03,geo_1,14000000,1753526.56,101.017,38074.23,2936773,10746.35,1613214,21825.09,2800647,14646.37,2881766,67097.09,2399321
2023-07-10,geo_1,14000000,1842654.97,99.201,36690.06,3259862,10770.9,1724687,61745.68,7673285,19033.0,3776600,77988.89,3308837
2023-07-17,geo_1,14000000,1888025.83,97.479,45887.87,4067428,13271.79,2226560,44550.98,5344890,41085.54,8341857,36506.16,1390032
2023-07-24,geo_1,14000000,1899872.6,98.216,147540.88,12197240,11005.43,1905836,50227.91,6281658,45831.44,9057512,43336.55,1787112
2023-07-31,geo_1,14000000,2182804.2,100.691,155030.07,13402923,13036.69,2339290,21193.33,2476719,38592.1,7084230,43203.49,1866169
2023-08-07,geo_1,14000000,1981667.2,100.207,151474.4,12700368,8843.34,1491399,26442.71,3159270,17921.47,3589152,48268.23,2001636
2023-08-14,geo_1,14000000,1821778.59,99.822,208258.1,18778158,12701.68,2112951,18886.32,2408924,16227.86,3374352,37060.26,1425930
2023-08-21,geo_1,14000000,1981897.1,100.004,35350.84,3110778,13414.45,2258623,20204.25,2369545,15457.28,3086900,44520.76,1627088
2023-08-28,geo_1,14000000,1900547.31,99.665,44462.33,3461888,11385.52,1837294,26117.26,3053447,17217.57,3388130,35151.2,1516344
2023-09-04,geo_1,14000000,1805363.78,101.582,51040.62,4567524,11671.17,1858684,24628.48,2973869,15312.02,2780076,42262.62,1735710
2023-09-11,geo_1,14000000,1515792.81,101.538,35742.88,3051324,10066.87,1797611,20219.15,2727935,17308.43,3628908,40307.57,1847903
2023-09-18,geo_1,14000000,1479642.82,102.617,37778.3,3155200,9890.69,1630470,27076.76,3343498,14398.38,3007105,38840.13,1632077
2023-09-25,geo_1,14000000,1628637.63,102.217,42805.45,3675975,10791.41,1576973,24469.41,3033972,15487.7,3150005,39339.14,1683869
2023-10-02,geo_1,14000000,1733575.49,101.467,35652.8,3248196,11829.99,1894287,22926.2,2893264,19615.24,3868142,38238.6,1484061
2023-10-09,geo_1,14000000,1488407.18,102.978,47885.58,4031976,10224.18,1801503,22907.21,3007350,15863.76,3220009,43649.02,1731479
2023-10-16,geo_1,14000000,1642698.24,101.705,40227.06,3051200,10332.6,1715313,24485.5,2878444,14228.88,2847503,40899.91,1577515
2023-10-23,geo_1,14000000,1592194.9,101.65,47967.8,4076196,14562.29,2438908,55333.67,7779739,48890.37,9814875,41722.71,1805326
2023-10-30,geo_1,14000000,1666505.73,104.487,180844.41,14766362,47829.42,8446499,61360.91,7086809,44055.98,7967972,38029.83,1561872
2023-11-06,geo_1,14000000,1777357.02,105.223,161598.31,13432360,46506.89,7285086,64666.78,8914078,39476.75,8015914,38244.35,1556158
