DATE,revenue,competitor_index,tv_S,ooh_S,social_S,display_S,search_S,tv_I,ooh_I,social_I,display_I,search_I
2023-01-02,6029986.49,107.379,131151.77,44060.04,77903.63,62573.57,153092.3,11207005,7527881,11277296,13097248,5888582
2023-01-09,5984008.45,103.257,166575.31,47858.74,92646.9,54215.67,163040.98,13852845,8057893,13347558,11530623,6346752
2023-01-16,6277688.68,103.017,131244.83,45840.33,81299.94,57592.99,137119.09,10922014,7401066,11884404,11299267,5564682
2023-01-23,6669594.27,101.376,153310.07,157035.73,70184.15,60511.76,171876.83,12892634,26150680,9887929,12404195,6727579
2023-01-30,6754790.97,99.45,146392.52,166183.57,182766.5,67546.61,165564.1,12379907,28172540,25510303,13260894,6457432
2023-02-06,6867498.04,98.085,134536.3,138093.34,198701.93,145822.61,171018.86,11274763,22968390,27016522,28763962,6462215
2023-02-13,7134180.73,98.131,176226.68,170038.17,225054.57,133276.58,178525.13,14525930,28515738,32895139,27933172,7116826
2023-02-20,6946759.21,96.423,147101.57,42942.31,68825.6,143025.46,147546.74,12591945,7275555,9667567,29702165,5893640
2023-02-27,7510565.01,94.693,554079.4,175452.34,82341.73,55939.17,159351.68,45842763,28473525,11561479,11087260,6209282
2023-03-06,7411075.63,96.543,578076.32,145790.35,93953.3,79953.49,126652.24,49703028,25087379,13551822,15426427,4791156
2023-03-13,7251796.79,98.114,607574.83,177806.65,66513.69,60060.01,139531.48,51958074,30452772,9626254,11591782,5339473
2023-03-20,7371221.37,98.247,486342.77,140425.59,95339.23,78056.16,134878.33,41276836,23491131,13853842,15795431,5090554
2023-03-27,7024566.29,97.958,132614.43,33790.07,74489.71,53496.39,165367.86,11030518,5722085,10723898,10744685,6316896
2023-04-03,6867385.87,98.866,126036.1,32238.3,79305.38,57665.93,161684.53,10756136,5492764,11834127,11730149,6098412
2023-04-10,6737960.33,101.39,113978.61,34173.63,74705.41,77243.23,158876.86,9796999,5674054,10842960,15268475,6206975
2023-04-17,6838320.04,102.772,166037.8,50780.11,209183.94,62772.15,155461.95,13809986,8236135,30059477,12658731,6235874
2023-04-24,6405024.19,103.016,175564.16,48548.25,212708.04,84190.67,187290.57,15738980,7837815,30380851,16833258,7255560
2023-05-01,6974374.94,102.104,681563.58,55412.98,213585.49,71762.05,166852.69,57565257,8799884,29845966,14354046,6528736
2023-05-08,6893766.56,101.654,474839.94,38108.3,113601.91,76971.42,145214.8,40103654,6375747,16773111,15482439,5448505
2023-05-15,7668745.67,99.801,618860.18,50320.22,58579.91,53854.74,182001.07,51763049,8857157,8497492,11108274,7336045
2023-05-22,7357454.32,102.502,640422.78,45907.86,75072.3,156930.79,376790.2,52644937,7626340,10767671,32617378,14771891
2023-05-29,7054831.6,100.244,137449.12,138587.95,67818.76,147087.98,346265.66,11530237,22669369,9761176,31265832,13332138
2023-06-05,6889009.81,99.166,162812.69,179422.63,77918.27,186398.73,122418.8,13489751,30196833,10961666,37521192,4601925
2023-06-12,6793909.73,98.68,128585.83,135324.06,73240.13,61637.94,139752.84,10600521,22529484,10414137,12452819,5386069
2023-06-19,7026584.21,98.675,129242.23,127285.86,77477.82,65175.09,332395.37,10808948,22002176,10832652,13039237,12674776
2023-06-26,6701949.65,100.71,133101.91,37312.52,79777.61,58956.58,306952.6,11015989,6084792,11492852,11964817,11528667
2023-07-03,6424041.3,101.017,134933.05,38954.48,74361.53,53173.42,269625.99,11343632,5957826,10838036,10743037,9942385
2023-07-10,6773728.17,99.201,130290.32,40569.51,224915.51,69842.81,321359.28,11731903,6858172,31902661,14211782,12748526
2023-07-17,6794383.4,97.479,165673.32,49659.74,166564.07,146397.49,142255.83,14173745,8356072,22920113,30226434,5494839
2023-07-24,6748913.49,98.216,517242.01,41812.15,187534.27,159366.31,157415.81,42078877,7086894,27588496,32243101,6160736
