date,geo,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,geo_1,14000000,2104465.09,101.631,45057.48,3839119,15309.54,2266918,19178.63,2270247,17672.26,2499243,47980.94,2087010
2023-01-09,geo_1,14000000,1892401.87,102.202,48534.64,3892986,13553.38,1836422,19734.17,2728300,17307.06,2785867,47580.18,1894289
2023-01-16,geo_1,14000000,1785915.31,101.523,32062.82,2735376,11050.89,1822276,19180.16,2502026,17651.95,2651010,62403.87,2742008
2023-01-23,geo_1,14000000,1785707.81,97.644,39363.4,3323270,11436.19,1501122,16336.04,2267240,17359.48,2563101,44065.06,1931877
2023-01-30,geo_1,14000000,1793064.32,95.539,153894.23,11938167,11310.8,1588186,16892.46,2138803,19482.75,3151586,50715.69,2125517
2023-02-06,geo_1,14000000,2217364.74,93.951,112318.65,9147195,35530.65,4970179,17766.49,2407736,20853.67,3298236,121370.75,5467780
2023-02-13,geo_1,14000000,2281525.99,94.993,161568.28,14477070,44110.58,6636427,21133.44,2778959,15745.62,2298376,95058.51,3849576
2023-02-20,geo_1,14000000,2293526.06,99.09,202162.4,15944696,51829.16,7851794,24838.03,3485851,16507.95,2482716,40704.95,1628482
2023-02-27,geo_1,14000000,2029364.11,98.631,35458.15,2771218,44416.48,6846197,16047.0,2095683,18861.31,2828894,56062.38,2598257
2023-03-06,geo_1,14000000,2014851.8,96.891,36692.83,3188019,11456.21,1628448,19428.62,2469091,15639.27,2256011,44784.42,1965083
2023-03-13,geo_1,14000000,1971495.08,96.136,43852.69,3365876,11722.15,1754762,46292.65,6034554,18125.95,2818880,53754.4,2179300
2023-03-20,geo_1,14000000,2100183.62,97.751,145247.62,11271605,12955.45,1968986,58375.23,7235721,21335.36,3278613,41531.08,1891305
2023-03-27,geo_1,14000000,1928878.16,98.109,152953.37,12155717,43056.45,6471435,52476.27,6824482,19617.83,2955974,49421.49,2072135
2023-04-03,geo_1,14000000,2061497.01,97.985,168558.13,13858720,46133.68,7198187,21581.41,2959060,20470.67,3285270,37016.06,1636863
2023-04-10,geo_1,14000000,2044973.76,96.175,138078.61,11013006,34488.97,5241464,19733.71,2450379,18787.6,2985995,38820.23,1538989
2023-04-17,geo_1,14000000,2002951.28,97.393,45070.21,3864746,39489.08,6062918,44846.25,5585114,19593.03,3129972,40004.6,1600385
2023-04-24,geo_1,14000000,1961794.77,97.511,35893.28,2917136,11127.27,1632057,45445.47,6052859,17746.98,2949387,43272.19,1789385
2023-05-01,geo_1,14000000,2026612.99,99.991,44287.87,3322328,12650.73,1912264,49872.49,6055311,21254.7,3341633,46022.16,1789468
2023-05-08,geo_1,14000000,1910484.2,100.637,47343.5,3836446,8845.1,1344784,23397.78,3051372,16178.98,2325879,46385.15,1889723
2023-05-15,geo_1,14000000,2010423.07,100.044,52394.17,4409065,13633.3,2225626,26408.11,3343043,39937.78,5715448,39560.23,1732296
2023-05-22,geo_1,14000000,1782409.3,101.468,38533.91,3317801,41899.07,6387206,60522.55,7964953,50236.77,7555855,34775.77,1485346
2023-05-29,geo_1,14000000,1898539.86,101.532,44023.67,3446517,42348.69,6315590,53600.24,6764926,41599.58,5970159,30225.06,1298451
2023-06-05,geo_1,14000000,1932649.15,100.498,43504.64,3678835,45384.69,6611990,67948.49,8441955,19690.39,2958080,43600.47,1939478
2023-06-12,geo_1,14000000,1721775.78,99.464,34007.05,2601326,34295.81,4629849,24200.93,3163443,18524.69,3149201,39612.57,1600468
2023-06-19,geo_1,14000000,1861556.15,101.493,41535.2,3624248,12666.97,1731069,23515.24,2945747,22265.39,3488933,37403.59,1482558
2023-06-26,geo_1,14000000,1675232.09,101.398,44276.09,3687719,11302.04,1711525,23672.57,3322331,20093.81,3221013,43778.59,1867659
2023-07-03,geo_1,14000000,1957172.86,102.683,184160.74,14163622,47549.56,7176605,21061.69,2640237,22013.88,3528752,46342.64,1860434
2023-07-10,geo_1,14000000,1854488.67,103.238,218633.62,17628496,54518.43,8998971,20577.2,2352631,19047.85,3228022,51780.26,2079644
2023-07-17,geo_1,14000000,1985123.64,101.995,171716.01,12989912,49053.14,7194810,21825.6,3035828,17129.34,2496230,52511.7,2140007
2023-07-24,geo_1,14000000,2057428.96,101.099,164587.42,13173366,41157.89,6373568,23027.22,2775412,24191.23,3409538,53069.37,2162014
