DATE,revenue,competitor_index,tv_S,ooh_S,social_S,display_S,search_S,tv_I,ooh_I,social_I,display_I,search_I
2023-01-02,6881846.51,101.631,179859.41,49339.53,79055.37,62526.07,170841.43,14937412,7706020,11170787,12096045,6695875
2023-01-09,6645067.27,102.202,179412.27,47357.41,79664.48,63378.38,165365.9,14513107,7144928,10916277,12477440,6429452
2023-01-16,6553155.6,101.523,123831.75,38755.85,77874.65,64759.71,215989.89,10334500,6474782,11164238,12518575,8678432
2023-01-23,6897904.83,97.644,151207.03,41012.58,67014.27,62987.73,155327.1,12464849,6170200,9463326,12048899,6222908
2023-01-30,7066160.33,95.539,573159.81,42721.07,71898.91,69026.75,185117.13,47391874,6409961,10128535,13388090,7143177
2023-02-06,7600644.76,93.951,418844.03,128005.5,74601.87,74906.87,437604.28,34808325,20074135,10882177,14790922,17912699
2023-02-13,7892407.62,94.993,594214.34,153209.0,87084.71,56416.28,343878.89,50561722,24255799,12418605,10383683,13644839
2023-02-20,7786830.77,99.09,733764.02,176687.41,100292.84,58764.66,150841.93,59907006,27939092,14529184,11211157,5900327
2023-02-27,7313438.76,98.631,131017.7,161906.95,64584.4,69413.73,205421.13,10616499,25087233,9108509,13104910,8306182
2023-03-06,7423874.55,96.891,137920.38,41705.63,78568.27,59431.35,156673.3,11831376,6291410,11310587,11298613,6321753
2023-03-13,7092290.42,96.136,161220.44,44817.58,174122.54,65688.88,184387.29,12658923,7065179,24895373,12593674,7188201
2023-03-20,7532823.06,97.751,541866.49,49473.19,217687.79,78624.71,140228.87,43696093,7595605,31477570,15054912,5775019
2023-03-27,7309261.89,98.109,541933.22,152169.67,200126.93,70488.1,166158.09,44354204,24143341,28919968,13744915,6603234
2023-04-03,7432347.73,97.985,593135.88,170765.63,82109.46,75643.8,129065.77,46918263,27055897,11644139,14546847,5048020
2023-04-10,7472662.65,96.175,478982.19,130223.85,78678.51,76397.94,137669.58,39651100,20297145,11396812,14794176,5308038
2023-04-17,7349871.23,97.393,152309.77,147936.73,179569.69,75995.29,139236.24,12785389,22972616,24499113,14828944,5557579
2023-04-24,7212553.36,97.511,121572.58,40419.22,178862.85,68927.53,157258.6,9634688,6088219,25823340,14150733,6110111
2023-05-01,7096091.23,99.991,144180.43,46878.66,187842.47,80070.61,171993.87,11304903,7482303,26997082,15932887,6499254
2023-05-08,6690114.33,100.637,158560.92,34038.46,86792.09,62317.19,178927.03,12821154,5543269,12452466,11757847,6746206
2023-05-15,7196398.51,100.044,175906.79,51376.66,98449.01,146909.72,151970.41,14498127,8582014,14043129,27597043,6072874
2023-05-22,6519527.26,101.468,130082.32,160113.41,219996.39,169707.27,132329.68,10915293,25402856,32229905,30675433,5185611
2023-05-29,6804970.4,101.532,147472.48,160641.21,189714.08,142824.87,111803.74,11624419,25271811,26940887,26754571,4448082
2023-06-05,6803794.83,100.498,147707.93,170411.28,234868.75,67925.97,162596.32,12350721,26186649,33546007,12646037,6542102
2023-06-12,6375860.93,99.464,114501.32,124386.79,81203.96,63109.18,152862.53,9202479,19797480,11419070,12476725,5889263
