date,population,revenue,competitor_index,tv_spend,tv_impressions,ooh_spend,ooh_impressions,social_spend,social_impressions,display_spend,display_impressions,search_spend,search_impressions
2023-01-02,50000000,6881846.51,101.631,179859.41,14937412,49339.53,7706020,79055.37,11170787,62526.07,12096045,170841.43,6695875
2023-01-09,50000000,6645067.27,102.202,179412.27,14513107,47357.41,7144928,79664.48,10916277,63378.38,12477440,165365.9,6429452
2023-01-16,50000000,6553155.6,101.523,123831.75,10334500,38755.85,6474782,77874.65,11164238,64759.71,12518575,215989.89,8678432
2023-01-23,50000000,6897904.83,97.644,151207.03,12464849,41012.58,6170200,67014.27,9463326,62987.73,12048899,155327.1,6222908
2023-01-30,50000000,7066160.33,95.539,573159.81,47391874,42721.07,6409961,71898.91,10128535,69026.75,13388090,185117.13,7143177
2023-02-06,50000000,7600644.76,93.951,418844.03,34808325,128005.5,20074135,74601.87,10882177,74906.87,14790922,437604.28,17912699
2023-02-13,50000000,7892407.62,94.993,594214.34,50561722,153209.0,24255799,87084.71,12418605,56416.28,10383683,343878.89,13644839
2023-02-20,50000000,7786830.77,99.09,733764.02,59907006,176687.41,27939092,100292.84,14529184,58764.66,11211157,150841.93,5900327
2023-02-27,50000000,7313438.76,98.631,131017.7,10616499,161906.95,25087233,64584.4,9108509,69413.73,13104910,205421.13,8306182
2023-03-06,50000000,7423874.55,96.891,137920.38,11831376,41705.63,6291410,78568.27,11310587,59431.35,11298613,156673.3,6321753
2023-03-13,50000000,7092290.42,96.136,161220.44,12658923,44817.58,7065179,174122.54,24895373,65688.88,12593674,184387.29,7188201
2023-03-20,50000000,7532823.06,97.751,541866.49,43696093,49473.19,7595605,217687.79,31477570,78624.71,15054912,140228.87,5775019
2023-03-27,50000000,7309261.89,98.109,541933.22,44354204,152169.67,24143341,200126.93,28919968,70488.1,13744915,166158.09,6603234
2023-04-03,50000000,7432347.73,97.985,593135.88,46918263,170765.63,27055897,82109.46,11644139,75643.8,14546847,129065.77,5048020
2023-04-10,50000000,7472662.65,96.175,478982.19,39651100,130223.85,20297145,78678.51,11396812,76397.94,14794176,137669.58,5308038
2023-04-17,50000000,7349871.23,97.393,152309.77,12785389,147936.73,22972616,179569.69,24499113,75995.29,14828944,139236.24,5557579
2023-04-24,50000000,7212553.36,97.511,121572.58,9634688,40419.22,6088219,178862.85,25823340,68927.53,14150733,157258.6,6110111
2023-05-01,50000000,7096091.23,99.991,144180.43,11304903,46878.66,7482303,187842.47,26997082,80070.61,15932887,171993.87,6499254
2023-05-08,50000000,6690114.33,100.637,158560.92,12821154,34038.46,5543269,86792.09,12452466,62317.19,11757847,178927.03,6746206
2023-05-15,50000000,7196398.51,100.044,175906.79,14498127,51376.66,8582014,98449.01,14043129,146909.72,27597043,151970.41,6072874
2023-05-22,50000000,6519527.26,101.468,130082.32,10915293,160113.41,25402856,219996.39,32229905,169707.27,30675433,132329.68,5185611
2023-05-29,50000000,6804970.4,101.532,147472.48,11624419,160641.21,25271811,189714.08,26940887,142824.87,26754571,111803.74,4448082
2023-06-05,50000000,6803794.83,100.498,147707.93,12350721,170411.28,26186649,234868.75,33546007,67925.97,12646037,162596.32,6542102
2023-06-12,50000000,6375860.93,99.464,114501.32,9202479,124386.79,19797480,81203.96,11419070,63109.18,12476725,152862.53,5889263
2023-06-19,50000000,6592572.26,101.493,141557.46,11833401,43786.44,6578327,78433.48,10915185,75987.01,14373545,149797.0,5767810
2023-06-26,50000000,6064371.06,101.398,147441.24,11849483,38870.82,6261581,78627.66,10999043,71873.32,14007949,174349.09,6949118
2023-07-03,50000000,6663793.91,102.683,613405.3,48657984,159888.69,24948304,69714.6,9557516,76490.29,14709193,172524.21,6519688
2023-07-10,50000000,6729338.99,103.238,732723.42,57416348,175433.5,27320379,65450.31,8960511,63287.59,12169275,187326.39,7376530
2023-07-17,50000000,6917603.41,101.995,581470.57,46966214,160600.02,25077365,71590.34,10563740,54349.39,10373543,185475.8,7359424
2023-07-24,50000000,7247962.45,101.099,569463.86,45911108,137400.32,21723867,75943.53,10524546,77345.17,14245008,186723.44,7310474
2023-07-31,50000000,6861688.26,99.473,141926.05,11252466,43216.19,6878590,79501.07,11399634,81390.62,15082384,160404.66,6238990
2023-08-07,50000000,6597124.25,100.006,143106.9,11732653,43806.57,6780726,67259.9,9464911,143433.86,26652493,147990.2,5672435
2023-08-14,50000000,6318372.78,99.123,152203.61,12393635,48974.0,7513430,76011.91,10595201,138770.75,26159151,145031.36,5629984
2023-08-21,50000000,6332878.94,100.205,174295.22,14216053,45034.78,7254057,63077.1,9155206,127493.64,24293540,155605.7,6057485
2023-08-28,50000000,6264779.78,98.672,125925.56,10045041,41048.75,6380775,226780.42,31618712,76992.72,14514629,340382.65,13602294
2023-09-04,50000000,6317035.52,101.789,143820.62,11216327,147292.77,23159629,182300.46,25926026,57677.8,10879883,276750.19,10944417
2023-09-11,50000000,5920870.69,99.547,106637.58,8288906,137551.81,21962595,172280.65,23665546,68815.7,12664058,154959.67,5826517
2023-09-18,50000000,5888188.8,98.066,116536.83,9494165,129949.94,19412814,84415.37,12454352,68778.52,12404405,164472.93,6617071
2023-09-25,50000000,5872197.97,99.786,146063.27,11793209,142818.52,21743375,78356.53,11437646,146853.54,28946302,185318.61,7487437
2023-10-02,50000000,5819705.29,99.683,110235.88,8955770,34122.3,5304844,69056.38,9794414,153141.69,28625319,153560.91,6021600
2023-10-09,50000000,5945300.71,97.279,149183.64,12376411,50226.67,8053500,95786.98,13435858,148365.59,27889541,153319.93,5972790
2023-10-16,50000000,5881437.89,98.927,167940.11,13950210,53415.63,8268900,70757.73,9512064,73226.92,14429062,152251.69,5835112
2023-10-23,50000000,5522607.09,98.892,128700.8,10700714,39945.44,5942808,82375.63,11780302,78732.54,14744721,180982.7,6971153
2023-10-30,50000000,6159008.38,99.198,523798.72,42562235,40513.97,6482729,73124.76,10900538,78088.98,15168075,131966.64,5243667
2023-11-06,50000000,6635985.87,96.77,572724.35,45798314,162211.66,26094197,85733.36,12466632,131908.03,26143709,170879.59,7016797
2023-11-13,50000000,6800377.16,95.314,536519.25,43822816,130595.57,20252702,214491.43,30736711,134895.04,25896376,138771.7,5473876
2023-11-20,50000000,8233401.24,96.869,568082.27,46084930,188085.29,31192621,180366.15,26344912,147659.57,29199856,154607.12,5900584
2023-11-27,50000000,7158952.47,96.725,131090.64,10631081,135749.09,22113316,179852.16,26645157,69688.49,13027069,177117.5,6993020
2023-12-04,50000000,7042728.85,95.24,159108.74,12558348,40172.17,6377228,90006.47,12826901,72508.56,14109347,153597.56,6112502
2023-12-11,50000000,6651118.93,97.605,148500.91,12011995,42505.08,6641971,80696.52,11173502,51697.98,9639675,158917.3,6174725
2023-12-18,50000000,6713100.57,98.346,141783.62,11371449,38354.57,5934407,87427.57,12732839,67330.51,13162936,299428.34,11825498
2023-12-25,50000000,7630465.99,101.124,108262.43,8929365,36856.11,5776693,81780.8,12022636,73562.72,13935977,279871.05,11039877
2024-01-01,50000000,6649130.05,97.774,131030.39,11087137,42644.1,6563508,89453.28,12935736,66627.4,12941630,184372.35,7350309
2024-01-08,50000000,6868037.78,98.802,143655.14,11790739,41065.67,6407595,84450.02,12363314,65515.63,12519579,155318.43,6105261
2024-01-15,50000000,6877285.61,98.694,155830.68,12241553,45197.37,6899343,74321.03,10549001,53412.87,10170526,163228.94,6706665
2024-01-22,50000000,7048953.51,99.878,527173.88,44044342,37987.5,5664845,94814.11,13867651,79220.59,14752365,152767.94,5885180
2024-01-29,50000000,7435603.34,97.617,615866.22,50485699,37613.69,5847222,78425.85,10982296,70590.92,13372221,158183.11,6204684
2024-02-05,50000000,8076180.58,97.129,634643.59,49140819,39917.1,6234930,199727.94,29262818,63591.23,11822874,333541.0,12835094
2024-02-12,50000000,7902958.36,96.531,531003.97,44343250,48806.91,7774132,203832.28,29186390,62673.35,12131001,345957.19,13510233
2024-02-19,50000000,7335530.56,99.592,156344.86,12354281,44103.74,6953378,228350.85,33350716,73436.47,14387432,143968.97,5692488
2024-02-26,50000000,7296749.06,98.81,139799.66,11895135,35005.1,5447102,72129.8,9950090,77238.67,14580462,151616.38,5840123
2024-03-04,50000000,7194851.64,100.592,124718.18,9955727,34962.46,5424254,198635.85,27263220,64929.53,12952698,165135.78,6256557
2024-03-11,50000000,7105060.19,101.396,142134.21,11401754,38792.45,6047427,194682.87,27677460,56727.7,11027482,156124.19,6206474
2024-03-18,50000000,7648851.89,98.211,671745.58,55021108,49917.84,7965812,191663.72,28010804,70769.94,13137557,161050.49,6264649
2024-03-25,50000000,7630858.88,94.744,600141.38,49094852,162585.52,27040398,69595.7,10160570,61153.29,11333356,151763.04,6163805
2024-04-01,50000000,7593878.66,94.224,573301.37,46571181,179434.02,28793471,57131.48,8118783,65501.07,12691419,164918.01,6664426
2024-04-08,50000000,7369422.6,97.095,633797.98,52109776,199099.16,30569608,72014.09,9711013,64359.89,12301452,155012.86,5782929
2024-04-15,50000000,7111570.07,99.4,156075.06,12414061,174575.64,27087718,88305.54,12660065,58361.17,11404887,129059.73,4886866
2024-04-22,50000000,7059627.34,98.282,146533.88,12195035,45151.65,6762131,77655.76,11214846,183042.95,35373790,144835.56,5551668
2024-04-29,50000000,7152540.17,100.803,114060.73,9240074,41506.78,6817656,186869.53,26956856,135545.43,25733837,169012.62,6979371
2024-05-06,50000000,6991705.18,101.26,104815.3,8638705,33742.99,5338767,191843.86,26866610,185717.72,36390218,211350.33,7962950
2024-05-13,50000000,7498363.09,100.19,116983.52,9497075,36525.68,5793143,217537.87,31256234,60154.57,11726034,148583.38,5971842
2024-05-20,50000000,6512154.48,100.837,174670.1,13752670,40692.85,6334328,77279.29,10761449,64902.73,12301184,131310.37,5101476
2024-05-27,50000000,6878119.44,100.968,155197.95,12587631,47820.83,7281002,75703.73,10960650,66705.15,13192674,171704.03,6475138
2024-06-03,50000000,6696777.16,102.401,117758.74,9672350,34625.6,5306693,83211.78,11587073,70177.78,13251253,204547.78,8228383
2024-06-10,50000000,6638068.85,102.889,156640.91,12912208,45847.86,7190313,88915.52,12803510,59304.61,11108119,149264.75,5720817
2024-06-17,50000000,6749347.56,98.583,119733.17,9440079,47792.42,7678429,82021.44,11756027,83135.38,16275655,156955.87,6200978
2024-06-24,50000000,6504052.22,100.086,145407.25,11376296,37568.86,5979212,80401.39,11495254,65710.26,12228166,156780.77,6303773
2024-07-01,50000000,6819181.23,99.846,158994.22,12862711,42960.15,6893079,160993.25,23467348,81741.75,14706334,184513.06,7645491
2024-07-08,50000000,6432754.1,101.243,139871.56,11211273,37814.76,6088159,161840.23,22904574,74601.31,14462506,131334.91,5054872
2024-07-15,50000000,6487165.45,101.9,156482.14,12395151,39976.51,6302479,196740.53,27389084,67243.67,12823701,174970.03,6728384
2024-07-22,50000000,6325808.09,101.463,157741.65,12687521,47917.03,7751225,73299.07,10553122,61737.29,11463328,161734.32,6428994
2024-07-29,50000000,6579694.26,102.863,115292.06,9542360,31788.42,4943129,73291.41,10203976,71269.11,13849858,160237.43,6504374
2024-08-05,50000000,5832890.55,103.013,140084.34,11544925,42842.02,6902852,80431.27,11469355,71145.6,13500340,157651.96,6186967
